Číslo;Druh/počet záznamů;Nálezů;Zastoupení (%);
119;Falco tinnunculus - poštolka obecná;53103;,19;
120;Motacilla alba - konipas bílý;52487;,18;
121;Centaurea jacea - chrpa luční;51779;,18;
122;Sitta europaea - brhlík lesní;51676;,18;
123;Asarum europaeum - kopytník evropský;51218;,18;
124;Aythya fuligula - polák chocholačka;51131;,18;
125;Carex sylvatica - ostřice lesní;50956;,18;
126;Vanellus vanellus - čejka chocholatá;50519;,18;
127;Garrulus glandarius - sojka obecná;49842;,17;
128;Achillea millefolium agg.;49810;,17;
129;Poa pratensis - lipnice luční;49015;,17;
130;Frangula alnus - krušina olšová;48987;,17;
131;Brachypodium pinnatum - válečka prapořitá;48897;,17;
132;Stachys sylvatica - čistec lesní;48825;,17;
133;Pimpinella saxifraga - bedrník obecný;48744;,17;
134;Lanius collurio - ťuhýk obecný;48043;,17;
135;Circus aeruginosus - moták pochop;47926;,17;
136;Bufo bufo - ropucha obecná;47592;,17;
137;Carex nigra - ostřice obecná;47441;,17;
138;Bistorta major - rdesno hadí kořen;47428;,17;
139;Convallaria majalis - konvalinka vonná;47236;,16;
140;Galeobdolon montanum - pitulník horský;47132;,16;
141;Euphorbia cyparissias - pryšec chvojka;46409;,16;
142;Rumex obtusifolius - šťovík tupolistý;45805;,16;
143;Vicia cracca - vikev ptačí;45601;,16;
144;Phragmites australis - rákos obecný;44860;,16;
145;Cardamine amara - řeřišnice hořká;44719;,16;
146;Rubus sp.;44709;,16;
147;Anser anser - husa velká;44643;,16;
148;Lychnis flos-cuculi - kohoutek luční;44288;,15;
149;Ajuga reptans - zběhovec plazivý;43473;,15;
150;Festuca ovina - kostřava ovčí;43278;,15;
151;Troglodytes troglodytes - střízlík obecný;42815;,15;
152;Salix caprea - vrba jíva;42631;,15;
153;Mareca strepera - kopřivka obecná;42325;,15;
154;Veronica officinalis - rozrazil lékařský;42116;,15;
155;Stellaria holostea - ptačinec velkokvětý;42113;,15;
156;Cornus sanguinea - svída krvavá;42033;,15;
157;Aythya ferina - polák velký;41904;,15;
158;Alcedo atthis - ledňáček říční;41747;,15;
159;Phalacrocorax carbo - kormorán velký;41409;,14;
160;Pica pica - straka obecná;41363;,14;
161;Rana temporaria - skokan hnědý;41214;,14;
162;Calluna vulgaris - vřes obecný;41189;,14;
163;Alauda arvensis - skřivan polní;40878;,14;
164;Phoenicurus ochruros - rehek domácí;40847;,14;
165;Crepis paludosa - škarda bahenní;40333;,14;
166;Picus viridis - žluna zelená;39528;,14;
167;Corvus corax - krkavec velký;39269;,14;
168;Melica nutans - strdivka nicí;39107;,14;
169;Quercus petraea agg.;39074;,14;
170;Carduelis carduelis - stehlík obecný;38994;,14;
171;Chloris chloris - zvonek zelený;38884;,14;
172;Nardus stricta - smilka tuhá;38682;,13;
173;Rosa sp.;38083;,13;
174;Hieracium pilosella - jestřábník chlupáček;38064;,13;
175;Prunus padus - střemcha obecná;37922;,13;
176;Festuca gigantea - kostřava obrovská;37889;,13;
177;Galium verum - svízel syřišťový;37738;,13;
178;Turdus pilaris - drozd kvíčala;37699;,13;
179;Passer montanus - vrabec polní;37607;,13;
180;Campanula rotundifolia - zvonek okrouhlolistý;37451;,13;
181;Stellaria nemorum - ptačinec hajní;37347;,13;
182;Ardea alba - volavka bílá;37262;,13;
183;Prenanthes purpurea - věsenka nachová;37145;,13;
184;Apus apus - rorýs obecný;36815;,13;
185;Salix cinerea - vrba popelavá;36607;,13;
186;Periparus ater - sýkora uhelníček;36470;,13;
187;Melampyrum pratense - černýš luční;35951;,13;
188;Streptopelia decaocto - hrdlička zahradní;35740;,12;
189;Geranium pratense - kakost luční;35571;,12;
190;Holcus mollis - medyněk měkký;35547;,12;
191;Thymus pulegioides - mateřídouška vejčitá;35448;,12;
192;Carex remota - ostřice řídkoklasá;35208;,12;
193;Polytrichum formosum;35012;,12;
194;Luzula pilosa - bika chlupatá;34993;,12;
195;Dryocopus martius - datel černý;34910;,12;
196;Alchemilla sp.;34829;,12;
197;Vaccinium vitis-idaea - brusnice brusinka;34810;,12;
198;Glechoma hederacea - popenec obecný;34150;,12;
199;Prunella vulgaris - černohlávek obecný;34070;,12;
200;Poa trivialis - lipnice obecná;33954;,12;
201;Melica uniflora - strdivka jednokvětá;33943;,12;
202;Briza media - třeslice prostřední;33551;,12;
203;Festuca pratensis - kostřava luční;33343;,12;
204;Pulmonaria obscura - plicník tmavý;33281;,12;
205;Dryopteris carthusiana - kapraď osténkatá;32867;,11;
206;Delichon urbicum - jiřička obecná;32660;,11;
207;Passer domesticus - vrabec domácí;31768;,11;
208;Elytrigia repens - pýr plazivý;31604;,11;
209;Festuca rubra agg.;31519;,11;
210;Phleum pratense - bojínek luční;31458;,11;
211;Dicranum scoparium - dvouhrotec chvostnatý;31236;,11;
