Číslo;Druh/počet záznamů;Nálezů;Zastoupení (%);
4735;Crypticus quisquilius;245;0;
4736;Hypophthalmichthys nobilis - tolstolobec pestrý;245;0;
4737;Hydaticus transversalis;245;0;
4738;Cladonia subulata;245;0;
4739;Enochrus testaceus;245;0;
4740;Silene vulgaris subsp. antelopum - silenka nadmutá obrovská;245;0;
4741;Anguis colchica - slepýš východní;245;0;
4742;Zygaena minos/purpuralis;245;0;
4743;Poecilonota rutilans - krasec lipový;245;0;
4744;Bilimbia sabuletorum;245;0;
4745;Asperugo procumbens - ostrolist poléhavý;244;0;
4746;Dissoleucas niveirostris;244;0;
4747;Nomophila noctuella;244;0;
4748;Avenula planiculmis - ovsíř dvouřízný;244;0;
4749;Ruthenica filograna - žebernatěnka drobná;244;0;
4750;Hermeophaga mercurialis;244;0;
4751;Rosa elliptica - růže oválnolistá;244;0;
4752;Bembidion octomaculatum;244;0;
4753;Sciuro-hypnum curtum;244;0;
4754;Bolboschoenus yagara × B. koshewnikowii - kamyšník širokoplodý;244;0;
4755;Carex stenophylla - ostřice úzkolistá;244;0;
4756;Cassida nebulosa;244;0;
4757;Coprinellus domesticus - hnojník domácí;244;0;
4758;Harpalus signaticornis;243;0;
4759;Porrhomma pygmaeum - plachetnatka tmavohnědá;243;0;
4760;Cerastium tomentosum - rožec plstnatý;243;0;
4761;Lythraria salicariae;243;0;
4762;Rugilus rufipes;243;0;
4763;Dorcatoma dresdensis;243;0;
4764;Radulomyces molaris - struhák blanitý;243;0;
4765;Hapalopilus rutilans - hlinák červenající;243;0;
4766;Phyllitis scolopendrium - jelení jazyk celolistý;243;0;
4767;Calypogeia sp.;243;0;
4768;Didymodon rigidulus - pározub tuhý pravý;243;0;
4769;Sorbus aria agg.;243;0;
4770;Bombus lucorum - čmelák hájový;242;0;
4771;Diplotaxis tenuifolia - křez tenkolistý;242;0;
4772;Pachetra sagittigera;242;0;
4773;Oberea oculata;242;0;
4774;Panemeria tenebrata;242;0;
4775;Fissidens bryoides - krondlovka prutníkovitá;242;0;
4776;Chondrula tridens - trojzubka stepní;242;0;
4777;Agrochola lota;242;0;
4778;Lecanora intricata;242;0;
4779;Russula fellea - holubinka žlučová;242;0;
4780;Idaea deversaria;241;0;
4781;Steatoda bipunctata - snovačka pokoutní;241;0;
4782;Odacantha melanura;241;0;
4783;Dactylorhiza fuchsii subsp. sooana - prstnatec Fuchsův Soóův;241;0;
4784;Nardia scalaris - okružnice schodovitá;241;0;
4785;Liparus glabrirostris - klikoroh devětsilový;241;0;
4786;Notoxus monoceros;241;0;
4787;Pennithera firmata;241;0;
4788;Penthophera morio - smutník jílkový;241;0;
4789;Pityohyphantes phrygianus - plachetnatka vidlicová;240;0;
4790;Lindernia procumbens - puštička pouzdernatá;240;0;
4791;Crepis mollis subsp. mollis - škarda měkká pravá;240;0;
4792;Diplophyllum obtusifolium - zdvojenka tupolistá;240;0;
4793;Diatrypella favacea;240;0;
4794;Lasiochlaena anisea - smolokorka buková;240;0;
4795;Hygrolycosa rubrofasciata - slíďák tečkovaný;240;0;
4796;Xylotrechus antilope;240;0;
4797;Cymbiodyta marginella;240;0;
4798;Hygrotus decoratus;240;0;
4799;Macaria signaria;240;0;
4800;Triplax rufipes;239;0;
4801;Coenagrion ornatum - šidélko ozdobné;239;0;
4802;Mycogona germanica - hrbulka bučinová;239;0;
4803;Dysdera erythrina - šestiočka rudá;239;0;
4804;Earias clorana;239;0;
4805;Aphanobasidium pseudotsugae - voskovec položelatinózní;239;0;
4806;Russula fragilis - holubinka křehká;239;0;
4807;Micarea denigrata;239;0;
4808;Agapanthia intermedia;239;0;
4809;Somateria mollissima - kajka mořská;239;0;
4810;Pulmonaria sp.;239;0;
4811;Araneus sturmi - křižák Sturmův;239;0;
4812;Amanita pantherina - muchomůrka tygrovaná;238;0;
4813;Thetidia smaragdaria;238;0;
4814;Euxoa obelisca;238;0;
4815;Mesosa nebulosa;238;0;
4816;Xylena vetusta;238;0;
4817;Prionychus ater - spuchřelík černý;238;0;
4818;Atypus affinis - sklípkánek hnědý;238;0;
4819;Agabus melanarius;238;0;
4820;Chaetocnema picipes;238;0;
4821;Flavoparmelia caperata;238;0;
4822;Hypomma bituberculatum - pavučenka dvoulaločná;237;0;
4823;Geranium sp.;237;0;
4824;Hypera nigrirostris;237;0;
4825;Cantharis rufa;237;0;
4826;Saloca diceros - pavučenka buková;237;0;
4827;Laserpitium archangelica - hladýš andělikový;237;0;
4828;Rhinocyllus conicus;236;0;
4829;Bartramia pomiformis - kulistec jablíčkovitý;236;0;
4830;Galerucella lineola;236;0;
4831;Rhabdoweisia fugax - pruhovka nestálá;236;0;
4832;Neriene peltata - plachetnatka vlnopruhá;236;0;
4833;Anastrepta orcadensis - omšenka ohrnutá;236;0;
4834;Macrogastra tumida - řasnatka nadmutá;236;0;
4835;Amanita phalloides - muchomůrka zelená;236;0;
4836;Nanophyes marmoratus;236;0;
4837;Tremella mesenterica - rosolovka mozkovitá;236;0;
4838;Cladonia ochrochlora;236;0;
4839;Amara ingenua;236;0;
4840;Hygrophorus olivaceoalbus - šťavnatka olivově bílá;235;0;
4841;Scolia hirta - žahalka žlutá;235;0;
4842;Idaea emarginata;235;0;
4843;Thanatophilus sinuatus;235;0;
4844;Hydroporus incognitus;235;0;
4845;Poecilium alni;235;0;
4846;Demetrias imperialis;235;0;
4847;Cotoneaster sp.;235;0;
4848;Anoplodera sexguttata;235;0;
4849;Cobitis elongatoides - sekavec podunajský;235;0;
4850;Nola cucullatella;235;0;
4851;Polydesmus inconstans - plochule příměstská;235;0;
4852;Sphenolobus minutus;235;0;
4853;Xylocopa violacea - drvodělka fialová;234;0;
4854;Sphagnum quinquefarium - rašeliník pětiřadý;234;0;
4855;Clubiona phragmitis - zápředník rákosní;234;0;
4856;Leskea polycarpa - stejnozoubek mnohoplodý;234;0;
4857;Senecio paludosus - starček bažinný;234;0;
4858;Leucobryum sp.;234;0;
4859;Mordellochroa abdominalis;234;0;
4860;Phaedon cochleariae;234;0;
4861;Pyrochroa serraticornis;234;0;
4862;Archarius salicivorus;234;0;
4863;Meloe rugosus - majka svraštělá;234;0;
4864;Longitarsus pratensis;233;0;
4865;Chersotis multangula;233;0;
4866;Sisymbrium orientale - hulevník východní;233;0;
4867;Orobanche picridis - záraza hořčíková;233;0;
4868;Pertusaria leioplaca;233;0;
4869;Aegopis verticillus - zemoun skalní;233;0;
4870;Trechus amplicollis;233;0;
4871;Hadrobregmus pertinax;233;0;
4872;Scoparia pyralella;233;0;
4873;Zora silvestris - zora lesní;233;0;
4874;Eublemma purpurina;233;0;
4875;Notocelia cynosbatella;233;0;
4876;Udea prunalis;232;0;
4877;Polydrusus impar;232;0;
4878;Phratora vitellinae;232;0;
4879;Plagiomnium medium - měřík prostřední;232;0;
4880;Tortella inclinata - vijozub nachýlený;232;0;
4881;Epilecta linogrisea;232;0;
4882;Crepidotus applanatus - trepkovitka zploštělá;232;0;
4883;Quedius fuliginosus;232;0;
4884;Plusia festucae;232;0;
4885;Melolontha melolontha - chroust obecný;232;0;
4886;Zabrus tenebrioides;232;0;
4887;Brachionycha nubeculosa;232;0;
4888;Cyllodes ater;232;0;
4889;Aleimma loeflingiana;232;0;
4890;Bombina bombina × variegata;231;0;
4891;Mycetochara humeralis - hubojed dvouskvrnný;231;0;
4892;Scoparia basistrigalis;231;0;
4893;Sitona lepidus;231;0;
4894;Xanthocrambus saxonellus;231;0;
4895;Epuraea unicolor;231;0;
4896;Scoparia ambigualis;231;0;
4897;Oppiella nova - drobnožička obecná;231;0;
4898;Lejeunea cavifolia - rožeňka dutolistá;231;0;
4899;Trifolium retusum - jetel malokvětý;231;0;
4900;Gymnoscelis rufifasciata;231;0;
4901;Teucrium montanum - ožanka horská;231;0;
4902;Lythrum hyssopifolia - kyprej yzopolistý;231;0;
4903;Carex vaginata - ostřice pochvatá;231;0;
4904;Melanohalea exasperatula;230;0;
4905;Cryptogramma crispa - jinořadec kadeřavý;230;0;
4906;Agrotis clavis;230;0;
4907;Apoderus coryli;230;0;
4908;Cnephalocotes obscurus - pavučenka tmavá;230;0;
4909;Anisus spirorbis - svinutec kruhovitý;230;0;
4910;Panellus stipticus - pařezník obecný;230;0;
4911;Psylliodes napi;229;0;
4912;Calvia decemguttata;229;0;
4913;Neriene montana - plachetnatka velká;229;0;
4914;Apamea lateritia;229;0;
4915;Auchmis detersa;229;0;
4916;Teesdalia nudicaulis - nahoprutka písečná;229;0;
4917;Hypera postica;229;0;
4918;Plagiodera versicolora;229;0;
4919;Rumex acetosella agg. - Nezařazený druh;229;0;
4920;Psyche casta;229;0;
4921;Motacilla citreola - konipas citronový;229;0;
4922;Acalles camelus;229;0;
4923;Opilo mollis - pestrokrovečník měkký;228;0;
4924;Bupleurum longifolium - prorostlík dlouholistý;228;0;
4925;Silpha obscura;228;0;
4926;Glaucium corniculatum - rohatec růžkatý;228;0;
4927;Vallonia excentrica - údolníček šikmý;228;0;
4928;Anticlea derivata;228;0;
4929;Platypus cylindrus - jádrohlod dubový;228;0;
4930;Polystichum braunii - kapradina Braunova;228;0;
4931;Sciuro-hypnum plumosum;228;0;
4932;Apamea rubrirena;228;0;
4933;Lecanora cenisia;228;0;
4934;Micaria fulgens - mikarie třpytná;227;0;
4935;Aphodius scrutator - hnojník zkoumavý;227;0;
4936;Baetis rhodani;227;0;
4937;Pisidium milium - hrachovka prosná;227;0;
4938;Papaver somniferum - mák setý;227;0;
4939;Mycena viridimarginata - helmovka zelenobřitá;227;0;
4940;Chthonius tetrachelatus;227;0;
4941;Hypoxylon fuscum - dřevomor hnědý;227;0;
4942;Sericus brunneus;227;0;
4943;Viola alba - violka bílá;227;0;
4944;Abacoproeces saltuum - pavučenka hvozdní;226;0;
4945;Scapania umbrosa - kýlnatka stinná;226;0;
4946;Rhyncolus ater;226;0;
4947;Palliduphantes alutacius - plachetnatka bledá;226;0;
4948;Homalothecium philippeanum - hedvábitec hladký;226;0;
4949;Ochogona caroli - skvrněnka habrová;226;0;
4950;Omocestus haemorrhoidalis - saranče červenořitná;226;0;
4951;Dinothenarus fossor;226;0;
4952;Lecidea lithophila;226;0;
4953;Encalypta vulgaris - čepičatka obecná;225;0;
4954;Martes sp.;225;0;
4955;Gastropacha quercifolia - bourovec ovocný;225;0;
4956;Steccherinum ochraceum - ostnateček okrový;225;0;
4957;Helotropha leucostigma;225;0;
4958;Nemapogon cloacella;225;0;
4959;Epinotia tedella;225;0;
4960;Veronica triloba - rozrazil trojlaločný;225;0;
4961;Pseudoterpna pruinata;225;0;
4962;Evergestis forficalis;225;0;
4963;Diatrype decorticata;225;0;
4964;Acyrthosiphon pisum;225;0;
4965;Sarcomyxa serotina;225;0;
4966;Sphagnum tenellum - rašeliník nejměkčí;225;0;
4967;Euphorbia seguieriana - pryšec sivý;225;0;
4968;Olisthopus sturmii;224;0;
4969;Stipa borysthenica - kavyl písečný;224;0;
4970;Sitochroa verticalis;224;0;
4971;Pseudohydnum gelatinosum - rosolozub huspenitý;224;0;
4972;Romanogobio vladykovi - hrouzek Vladykovův;224;0;
4973;Melampyrum bohemicum - černýš český;224;0;
4974;Liacarus coracinus - lodinka obecná;224;0;
4975;Physocarpus opulifolius - tavola kalinolistá;224;0;
4976;Polydrusus mollis;224;0;
4977;Polyporus brumalis - choroš poloplástvový;223;0;
4978;Protapion assimile;223;0;
4979;Operophtera fagata;223;0;
4980;Demetrias atricapillus;223;0;
4981;Anthriscus cerefolium - kerblík třebule;223;0;
4982;Formica pratensis - mravenec trávní;223;0;
4983;Walckenaeria obtusa - pavučenka spirálová;223;0;
4984;Bembidion stephensii;223;0;
4985;Enochrus quadripunctatus;223;0;
4986;Lunaria annua - měsíčnice roční;223;0;
4987;Campylopus introflexus - křivonožka vehnutá;223;0;
4988;Boletus reticulatus - hřib dubový;223;0;
4989;Caucalis platycarpos subsp. platycarpos - dejvorec velkoplodý pravý;223;0;
4990;Pseudocistela ceramboides - hrotnatec tesaříkovitý;222;0;
4991;Pyralis regalis;222;0;
4992;Xerolycosa miniata - slíďák červenavý;222;0;
4993;Riccia sp.;222;0;
4994;Riccia cavernosa - trhutka dutinkatá;222;0;
4995;Crataegus × fallacina - hloh tuholistý;222;0;
4996;Sympecma paedisca - šídlatka kroužkovaná;222;0;
4997;Aphodius foetens;222;0;
4998;Larinus carlinae;222;0;
4999;Porrhomma microphthalmum - plachetnatka drobnooká;222;0;
5000;Juncus tenageia - sítina rybniční;222;0;
5001;Aphodius rufus - hnojník červený;222;0;
5002;Araniella opisthographa - křižák dubový;222;0;
5003;Meligethes sp.;222;0;
5004;Achillea asplenifolia - řebříček sleziníkolistý;222;0;
5005;Coprinus comatus - hnojník obecný;222;0;
5006;Cantharis figurata;221;0;
5007;Lophozia sp.;221;0;
5008;Clytus lama;221;0;
5009;Trichopteryx carpinata;221;0;
5010;Agrilus hyperici;221;0;
5011;Pelurga comitata;221;0;
5012;Anser fabalis fabalis;221;0;
5013;Armillaria gallica - václavka hlízovitá;221;0;
5014;Lasiocampa quercus - bourovec dubový;221;0;
5015;Amara fulva;221;0;
5016;Pohlia cruda - paprutka trpká;221;0;
5017;Bembidion obliquum;221;0;
5018;Oulema duftschmidi;221;0;
5019;Crypsedra gemmea;220;0;
5020;Rosa agrestis - růže polní;220;0;
5021;Pyrenula nitida;220;0;
5022;Ulota crispa - kadeřavec obecný;220;0;
5023;Glomeris pustulata - svinule lesní;220;0;
5024;Allium strictum - česnek tuhý;220;0;
5025;Graphiphora augur;220;0;
5026;Ancylis badiana;220;0;
5027;Pseudotrichia rubiginosa - vlahovka rezavá;220;0;
5028;Polytrichum pallidisetum;220;0;
5029;Orthonama vittata - píďalka vachtová;220;0;
5030;Catocala sponsa - stužkonoska dubová;220;0;
5031;Plemyria rubiginata;220;0;
5032;Protaetia cuprea metallica;220;0;
5033;Liocranum rupicola - zápředka domácí;220;0;
5034;Idaea moniliata;220;0;
5035;Lathyrus sylvestris agg.;220;0;
5036;Trichopterna cito - pavučenka sfingová;219;0;
5037;Donacia aquatica;219;0;
5038;Pterostichus quadrifoveolatus;219;0;
5039;Platycerus caprea - roháček kovový;219;0;
5040;Euxoa tritici;219;0;
5041;Bena bicolorana;219;0;
5042;Circus macrourus - moták stepní;219;0;
5043;Adela reaumurella;219;0;
5044;Rumex stenophyllus - šťovík úzkolistý;219;0;
5045;Notiophilus rufipes;219;0;
5046;Bryophila domestica;219;0;
5047;Gastrallus laevigatus;219;0;
5048;Cobitis sp.;219;0;
5049;Gnaphosa opaca - skálovka suchomilná;218;0;
5050;Cladonia deformis;218;0;
5051;Marrubium peregrinum - jablečník cizí;218;0;
5052;Amaranthus blitum - laskavec hrubozel;218;0;
5053;Pyralis farinalis;218;0;
5054;Aphodius luridus - hnojník černavý;218;0;
5055;Xanthoparmelia pulla agg.;218;0;
5056;Pirata piscatorius - slíďák potápivý;218;0;
5057;Aridius nodifer;218;0;
5058;Gongylidiellum vivum - pavučenka mokřadní;218;0;
5059;Eudiaptomus gracilis - vznášivka ztepilá;218;0;
5060;Salticus zebraneus - skákavka zebrovitá;218;0;
5061;Cardamine parviflora - řeřišnice malokvětá;218;0;
5062;Daphnia longispina;218;0;
5063;Hieracium bifidum - jestřábník dvouklaný;217;0;
5064;Pachytodes erraticus;217;0;
5065;Bacidia subincompta;217;0;
5066;Verbascum lychnitis subsp. lychnitis - divizna knotovkovitá pravá;217;0;
5067;Hieracium tubulosum - jestřábník trubkovitý;217;0;
5068;Coelotes atropos - punčoškář horský;217;0;
5069;Agabus guttatus;217;0;
5070;Mycena polygramma - helmovka rýhonohá;216;0;
5071;Phyllotreta cruciferae;216;0;
5072;Dipoena melanogaster - snovačka černobřichá;216;0;
5073;Otiorhynchus nodosus;216;0;
5074;Spilonota ocellana;216;0;
5075;Lecidella stigmatea;216;0;
5076;Cephalozia lunulifolia - křepenka prostřední;216;0;
5077;Epirrhoe molluginata;216;0;
5078;Euphorbia sp.;216;0;
5079;Rhinusa tetra;216;0;
5080;Idaea aureolaria;216;0;
5081;Ononis repens - jehlice plazivá;216;0;
5082;Conopalpus testaceus;215;0;
5083;Jurinea cyanoides - sinokvět chrpovitý;215;0;
5084;Boudinotiana notha;215;0;
5085;Phacelia tanacetifolia - svazenka vratičolistá;215;0;
5086;Lophozia guttulata;215;0;
5087;Byssomerulius corium - dřevokaz kožový;215;0;
5088;Protoblastenia rupestris;215;0;
5089;Hydrophilus piceus - vodomil černý;215;0;
5090;Inocybe lacera - vláknice plsťovitá;215;0;
5091;Cryptocephalus bilineatus;215;0;
5092;Cetraria sp.;215;0;
5093;Polydrusus picus;215;0;
5094;Campanula barbata - zvonek vousatý;215;0;
5095;Carex ornithopoda - ostřice ptačí nožka;215;0;
5096;Tricholomopsis decora - šafránka ozdobná;215;0;
5097;Primula veris subsp. canescens - prvosenka jarní šedavá;214;0;
5098;Brachytemnus porcatus;214;0;
5099;Sphagnum compactum - rašeliník tuhý;214;0;
5100;Infundibulicybe gibba - strmělka nálevkovitá;214;0;
5101;Aphodius fossor - hnojník hrabavý;214;0;
5102;Clitocybe phyllophila - strmělka listomilná;214;0;
5103;Paramesia gnomana;214;0;
5104;Pogonatum aloides - ploníček aloeovitý;214;0;
5105;Reseda luteola - rýt barvířský;214;0;
5106;Astragalus arenarius - kozinec písečný;214;0;
5107;Opegrapha gyrocarpa;214;0;
5108;Subcoccinella vigintiquatuorpunctata;214;0;
5109;Otiorhynchus laevigatus;214;0;
5110;Porpidia tuberculosa;214;0;
5111;Iris germanica - kosatec německý;214;0;
5112;Diaeretiella rapae;213;0;
5113;Lasius brunneus;213;0;
5114;Platydema violaceum - širokáč fialový;213;0;
5115;Oulimnius tuberculatus;213;0;
5116;Trechus pilisensis pilisensis;213;0;
5117;Haematopota pluvialis;213;0;
5118;Griposia aprilina;213;0;
5119;Agonopterix arenella;213;0;
5120;Pyrgus armoricanus - soumračník podobný;213;0;
5121;Helcystogramma rufescens;212;0;
5122;Idaea ochrata;212;0;
5123;Agelena labyrinthica - pokoutník nálevkovitý;212;0;
5124;Umbilicaria hirsuta;212;0;
5125;Nigma flavescens - cedivečka doubravní;212;0;
5126;Clubiona neglecta - zápředník trávní;212;0;
5127;Pardosa saltans - slíďák chlumní;212;0;
5128;Salmo salar - losos obecný;212;0;
5129;Orthocaulis floerkei;212;0;
5130;Deroceras reticulatum - slimáček síťkovaný;212;0;
5131;Syntomus pallipes;212;0;
5132;Brassica napus subsp. napus - brukev řepka olejka;211;0;
5133;Herniaria hirsuta - průtržník chlupatý;211;0;
5134;Mesotype didymata;211;0;
5135;Otiorhynchus raucus;211;0;
5136;Sphagnum angustifolium - rašeliník úzkolistý;211;0;
5137;Ampedus sanguinolentus;211;0;
5138;Leucanthemum margaritae - kopretina panonská;211;0;
5139;Epagoge grotiana;211;0;
5140;Tephroseris longifolia subsp. moravica - starček dlouholistý moravský;211;0;
5141;Phylloscopus sp.;211;0;
5142;Eristalis tenax;211;0;
5143;Parascotia fuliginaria;210;0;
5144;Larus marinus - racek mořský;210;0;
5145;Lepiota cristata - bedla hřebenitá;210;0;
5146;Trixagus leseigneuri;210;0;
5147;Juncus trifidus - sítina trojklaná;210;0;
5148;Rhytisma acerinum - svraštělka javorová;210;0;
5149;Aethes smeathmanniana;210;0;
5150;Sittipub pubescens - skákavka okenní;210;0;
5151;Physcia aipolia;210;0;
5152;Mycena inclinata - helmovka leponohá;209;0;
5153;Phellinus viticola - ohňovec izabelový;209;0;
5154;Chlaenius nigricornis;209;0;
5155;Cochlodina orthostoma - vřetenovka rovnoústá;209;0;
5156;Radix balthica - uchatka vejčitá;209;0;
5157;Peziza micropus - řasnatka krátkonohá;209;0;
5158;Porpidia soredizodes;209;0;
5159;Acalles fallax;209;0;
5160;Rhizocarpon alpicola;209;0;
5161;Attelabus nitens;209;0;
5162;Monopis laevigella;209;0;
5163;Chloantha hyperici;209;0;
5164;Sitona striatellus;209;0;
5165;Stratiotes aloides - řezan pilolistý;209;0;
5166;Betula nana - bříza trpasličí;209;0;
5167;Potentilla anglica - mochna anglická;209;0;
5168;Calophasia lunula;208;0;
5169;Carex atrata - ostřice tmavá;208;0;
5170;Dolichoderus quadripunctatus;208;0;
5171;Balea perversa - hrotice obrácená;208;0;
5172;Ramalina farinacea;208;0;
5173;Parmeliopsis hyperopta;208;0;
5174;Oxalis corniculata - šťavel růžkatý;208;0;
5175;Brachygonus megerlei;208;0;
5176;Cygnus columbianus bewickii - labuť malá eurasijská;208;0;
5177;Utricularia intermedia - bublinatka prostřední;208;0;
5178;Leptorhoptrum robustum - pavučenka velká;208;0;
5179;Rhodocollybia butyracea - penízovka máslová;208;0;
5180;Lycopodiella inundata - plavuňka zaplavovaná;208;0;
5181;Metrioptera brachyptera - kobylka krátkokřídlá;208;0;
5182;Crambus pratella;208;0;
5183;Polyporus squamosus - choroš šupinatý;207;0;
5184;Haploporatia eremita - štětenka křovinná;207;0;
5185;Carex chordorrhiza - ostřice šlahounovitá;207;0;
5186;Cylindroiulus caeruleocinctus - oblanka sídelní;207;0;
5187;Russula mairei - holubinka nádherná;207;0;
5188;Alisma gramineum - žabník trávolistý;207;0;
5189;Anthracus consputus;207;0;
5190;Gerris lacustris - bruslařka obecná;207;0;
5191;Atypha pulmonaris;207;0;
5192;Euphorbia palustris - pryšec bahenní;207;0;
5193;Archarius pyrrhoceras;206;0;
5194;Eupithecia abbreviata;206;0;
5195;Selagia spadicella;206;0;
5196;Clytra quadripunctata;206;0;
5197;Libellula fulva - vážka plavá;206;0;
5198;Gnathonarium dentatum - pavučenka hřivnatá;206;0;
5199;Oedothorax agrestis - pavučenka pobřežní;206;0;
5200;Riccardia multifida - stěkovec mnohodílný;206;0;
5201;Plagiothecium denticulatum var. denticulatum;206;0;
5202;Prunus × eminens;206;0;
5203;Zelotes clivicola - skálovka cibulová;206;0;
5204;Bradycellus ruficollis;206;0;
5205;Floronia bucculenta - plachetnatka přízemní;205;0;
5206;Plateumaris sericea;205;0;
5207;Hericium coralloides - korálovec bukový;205;0;
5208;Agaricus xanthodermus - žampión zápašný;205;0;
5209;Hieracium densiflorum - chlupáček hustokvětý;205;0;
5210;Calambus bipustulatus;205;0;
5211;Noctua orbona;205;0;
5212;Veronica catenata - rozrazil pobřežní;205;0;
5213;Scotopteryx bipunctaria;205;0;
5214;Crocus heuffelianus - šafrán karpatský;205;0;
5215;Camarops tubulina - bolinka černohnědá;205;0;
5216;Lichenomphalia umbellifera - kalichovka okoličnatá;205;0;
5217;Myricaria germanica - židoviník německý;205;0;
5218;Rubus chamaemorus - ostružiník moruška;204;0;
5219;Cantharellus friesii - liška Friesova;204;0;
5220;Ceriodaphnia pulchella;204;0;
5221;Eulithis testata;204;0;
5222;Beta vulgaris - řepa obecná;204;0;
5223;Bupleurum longifolium subsp. longifolium - prorostlík dlouholistý pravý;204;0;
5224;Pterostichus macer;204;0;
5225;Oxychilus draparnaudi - skelnatka západní;204;0;
5226;Gabrius splendidulus;204;0;
5227;Barypeithes pellucidus;204;0;
5228;Protoparmelia badia;204;0;
5229;Euphorbia esula subsp. esula - pryšec obecný pravý;204;0;
5230;Melica nutans agg.;204;0;
5231;Clausilia rugosa - závornatka malá;203;0;
5232;Muscari armeniacum;203;0;
5233;Felis silvestris - kočka divoká;203;0;
5234;Glocianus punctiger;203;0;
5235;Potamogeton perfoliatus - rdest prorostlý;203;0;
5236;Xylopsora caradocensis;203;0;
5237;Taleporia tubulosa;203;0;
5238;Pocadicnemis juncea - pavučenka sítinná;203;0;
5239;Chenopodium pumilio - merlík trpasličí;203;0;
5240;Nardia geoscyphus - okužnice malá;203;0;
5241;Xanthoparmelia loxodes;203;0;
5242;Polydrusus pallidus;202;0;
5243;Physcia caesia;202;0;
5244;Pharmacis fusconebulosa - hrotnokřídlec kapradinový;202;0;
5245;Carduus sp.;202;0;
5246;Asplanchna priodonta;202;0;
5247;Hericium flagellum - korálovec jedlový;202;0;
5248;Virga pilosa - štětka chlupatá;202;0;
5249;Potamogeton gramineus - rdest trávolistý;202;0;
5250;Preissia quadrata - pateřín čtyřdílný;202;0;
5251;Dolichus halensis;202;0;
5252;Bembidion geniculatum;201;0;
5253;Monachoides vicinus - vlahovka karpatská;201;0;
5254;Anthrenus scrophulariae;201;0;
5255;Erophila spathulata - osívka kulatoplodá;201;0;
5256;Acrulia inflata;201;0;
5257;Bembidion semipunctatum;201;0;
5258;Cladonia phyllophora;201;0;
5259;Lamprohiza splendidula;201;0;
5260;Ptinus sexpunctatus;201;0;
5261;Rubus franconicus - ostružiník rumištní;201;0;
5262;Tinea semifulvella;201;0;
5263;Lycopus europaeus subsp. europaeus - karbinec evropský pravý;201;0;
5264;Carabus problematicus - střevlík řetízkový;201;0;
5265;Badister dilatatus;201;0;
5266;Anomodon longifolius - klaminka dlouholistá;201;0;
5267;Eupithecia abietaria;201;0;
5268;Melampyrum nemorosum var. nemorosum - černýš hajní pravý;201;0;
5269;Rissa tridactyla - racek tříprstý;201;0;
5270;Crepis sp.;200;0;
5271;Papestra biren;200;0;
5272;Eupithecia subumbrata;200;0;
5273;Cybister lateralimarginalis - křepčík obroubený;200;0;
5274;Miarus ajugae;200;0;
5275;Festuca amethystina - kostřava ametystová;200;0;
5276;Carex alba - ostřice bílá;200;0;
5277;Xanthoparmelia pulla;200;0;
5278;Bembidion stomoides;200;0;
5279;Stenichnus godarti;200;0;
5280;Lygephila viciae;200;0;
5281;Cylindronotus aeneus;200;0;
5282;Ethmia bipunctella;200;0;
5283;Harpalus smaragdinus;199;0;
5284;Ptycholoma lecheana;199;0;
5285;Tachyura diabrachys;199;0;
5286;Eustrophus dermestoides;199;0;
5287;Adrastus rachifer;199;0;
5288;Sorbus sp.;199;0;
5289;Tephroseris integrifolia - starček celolistý;199;0;
5290;Ennomos alniaria;198;0;
5291;Laccophilus hyalinus;198;0;
5292;Perizoma flavofasciata;198;0;
5293;Aeshna subarctica - šídlo rašelinné;198;0;
5294;Oxyrrhynchium schleicheri;198;0;
5295;Vespula germanica - vosa útočná;198;0;
5296;Spergularia echinosperma - kuřinka ostnosemenná;198;0;
5297;Anthaxia podolica;198;0;
5298;Nitella flexilis;198;0;
5299;Carex pediformis subsp. rhizodes - ostřice tlapkatá velkonohá;197;0;
5300;Suctobelbella subcornigera - savinečka obecná;197;0;
5301;Argyresthia pruniella;197;0;
5302;Acanthis flammea - čečetka zimní;197;0;
5303;Mythimna turca;197;0;
5304;Diphasiastrum complanatum - plavuník zploštělý;197;0;
5305;Cephalozia leucantha - křepenka bledá;197;0;
5306;Mecinus pyraster;197;0;
5307;Arctosa lutetiana - slíďák lesostepní;196;0;
5308;Cydia pomonella;196;0;
5309;Mycena acicula - helmovka jehličková;196;0;
5310;Oribatula tibialis - hrušenka obecná;196;0;
5311;Cephalanthera sp.;196;0;
5312;Pseudoleskeella catenulata - řetízkovec štíhlý;196;0;
5313;Anania lancealis;196;0;
5314;Veronica austriaca - rozrazil rakouský;195;0;
5315;Dendroxena quadrimaculata - housenkář čtyřtečný;195;0;
5316;Trapelia glebulosa;195;0;
5317;Harpalus anxius;195;0;
5318;Salix × multinervis;195;0;
5319;Oryctes nasicornis ondrejanus;195;0;
5320;Stenus similis;195;0;
5321;Hypnum jutlandicum - rokyt vřesovitý;195;0;
5322;Clavulina cinerea - kuřátečko popelavé;195;0;
5323;Solanum decipiens - lilek vlnatý;195;0;
5324;Simo hirticornis;195;0;
5325;Hemaris fuciformis - dlouhozobka zimolezová;194;0;
5326;Leucoma salicis - bekyně vrbová;194;0;
5327;Verbascum lychnitis subsp. moenchii - divizna knotovitá bělokvětá;194;0;
5328;Cladonia floerkeana;194;0;
5329;Phyllobius vespertinus;194;0;
