POLE_original
5256
5348
5353
5555
5560
5652
5655
5660
5661
5662
5752
5754
5760
5761
5850
5852
5853
5856
5857
5858
5860
5950
5951
5952
5953
5954
5959
5960
5963
6052
6067
6142
6153
6164
6175
6241
6246
6254
6261
6264
6344
6345
6369
6442
6444
6449
6461
6468
6469
6472
6476
6545
6548
6549
6558
6566
6567
6568
6569
6570
6645
6648
6658
6667
6669
6670
6757
6758
6764
6765
6766
6767
6770
6772
6865
6866
6867
6870
6873
6951
6952
6953
6954
6958
6965
6970
7052
7053
7065
7068
7069
7070
7162
7165
7166
7167
